{'market_cap': 1970604000000, 'name': 'KODEX 레버리지', 'date': '20180130', 'industry': 'ETF', 'price': '19095', 'pbr': 0, 'eps': 0, 'market_type': 'KOSPI', 'bps': 0, 'industry_per': 0, 'code': '122630', 'per': 0, 'foreign_ratio': 0, 'face_val': 0, 'foreign_limit': 0, 'foreign_possession': 0, 'yield_ret': 0}
{'market_cap': 1120584705240, 'name': '아시아나항공', 'date': '20180130', 'industry': '운수창고', 'price': '5460', 'pbr': 1.26, 'eps': '251', 'market_type': 'KOSPI', 'bps': '4346', 'industry_per': '-10.55', 'code': '020560', 'per': '21.75', 'foreign_ratio': '21.37', 'face_val': '5000', 'foreign_limit': '102597126', 'foreign_possession': '21920819', 'yield_ret': 0}
{'market_cap': 1233321132960, 'name': '대한전선', 'date': '20180130', 'industry': '전기전자', 'price': '1440', 'pbr': 3.86, 'eps': '-21', 'market_type': 'KOSPI', 'bps': '373', 'industry_per': '32.66', 'code': '001440', 'per': '-68.57', 'foreign_ratio': '0.69', 'face_val': '500', 'foreign_limit': '856473009', 'foreign_possession': '5941170', 'yield_ret': 0}
{'market_cap': 54818578084500, 'name': 'SK하이닉스', 'date': '20180130', 'industry': '전기전자', 'price': '75300', 'pbr': 2.21, 'eps': '4057', 'market_type': 'KOSPI', 'bps': '34018', 'industry_per': '15.48', 'code': '000660', 'per': '18.56', 'foreign_ratio': '47.62', 'face_val': '5000', 'foreign_limit': '728002365', 'foreign_possession': '346683106', 'yield_ret': '0.80'}
{'market_cap': 122774445320, 'name': '엔케이', 'date': '20180130', 'industry': '기계', 'price': '1535', 'pbr': 0.67, 'eps': '-564', 'market_type': 'KOSPI', 'bps': '2296', 'industry_per': '-87.20', 'code': '085310', 'per': '-2.72', 'foreign_ratio': '2.35', 'face_val': '500', 'foreign_limit': '79983352', 'foreign_possession': '1878634', 'yield_ret': 0}
{'market_cap': 48335500095, 'name': '세하', 'date': '20180130', 'industry': '종이목재', 'price': '1635', 'pbr': 3.03, 'eps': '277', 'market_type': 'KOSPI', 'bps': '540', 'industry_per': '18.36', 'code': '027970', 'per': '5.90', 'foreign_ratio': '0.18', 'face_val': '1000', 'foreign_limit': '29562997', 'foreign_possession': '52805', 'yield_ret': 0}
{'market_cap': 113925623750, 'name': '대창', 'date': '20180130', 'industry': '철강금속', 'price': '1250', 'pbr': 0.65, 'eps': '101', 'market_type': 'KOSPI', 'bps': '1915', 'industry_per': '17.09', 'code': '012800', 'per': '12.38', 'foreign_ratio': '3.06', 'face_val': '500', 'foreign_limit': '91140499', 'foreign_possession': '2787287', 'yield_ret': 0}
{'market_cap': 1838071946550, 'name': '영진약품', 'date': '20180130', 'industry': '의약품', 'price': '10050', 'pbr': 16.81, 'eps': '24', 'market_type': 'KOSPI', 'bps': '598', 'industry_per': '76.99', 'code': '003520', 'per': '418.75', 'foreign_ratio': '3.20', 'face_val': '500', 'foreign_limit': '182892731', 'foreign_possession': '5846024', 'yield_ret': 0}
{'market_cap': 125328393630, 'name': '대경기계', 'date': '20180130', 'industry': '기계', 'price': '1095', 'pbr': 1.51, 'eps': '-257', 'market_type': 'KOSPI', 'bps': '723', 'industry_per': '-87.20', 'code': '015590', 'per': '-4.26', 'foreign_ratio': '2.23', 'face_val': '500', 'foreign_limit': '114455154', 'foreign_possession': '2553833', 'yield_ret': 0}
{'market_cap': 416358400000, 'name': 'TIGER 코스닥150', 'date': '20180130', 'industry': 'ETF', 'price': '17120', 'pbr': 0, 'eps': 0, 'market_type': 'KOSPI', 'bps': 0, 'industry_per': 0, 'code': '232080', 'per': 0, 'foreign_ratio': 0, 'face_val': 0, 'foreign_limit': 0, 'foreign_possession': 0, 'yield_ret': 0}
{'market_cap': 302349600000, 'name': '벽산', 'date': '20180130', 'industry': '비금속', 'price': '4410', 'pbr': 1.15, 'eps': '328', 'market_type': 'KOSPI', 'bps': '3840', 'industry_per': '17.33', 'code': '007210', 'per': '13.45', 'foreign_ratio': '11.43', 'face_val': '500', 'foreign_limit': '68560000', 'foreign_possession': '7835375', 'yield_ret': '0.79'}
